CM code,TM/CP code,Client Code,Minimum Margins (a),Cash allocated (b),Cash-Others (c),Non-cash Securities (d),Short allocation Max [a-(b+c+d), 0]
14697,14697,07GCE04,0,0.05,0,0,0,
14697,14697,01GB004,11389.86,57593.45,0,0,0,
14697,14697,09HS198,0,17123.51,0,0,0,
14697,14697,01AT190,0,0,0,528458.91,0,
14697,14697,07FT013,0,1049315.51,0,0,0,
14697,14697,11AD002,5316.38,5533.53,0,0,0,
14697,14697,09GB101,4384,0,0,0,4384,
14697,14697,09HS101,0,0,0,123261.74,0,
14697,14697,01SD005,7580,42492.92,0,0,0,
14697,14697,12FD007,0,343.83,0,0,0,
14697,14697,JLD293,0,2455.86,0,0,0,
14697,14697,LTC011,45052.8,0,0,0,45052.8,
14697,14697,09GB169,2367.45,13451.24,0,0,0,
14697,14697,09PK222,4448.2,664.76,0,0,3783.44,
14697,14697,09GB015,0,23598.18,0,0,0,
14697,14697,09GB321,0,347.59,0,0,0,
14697,14697,FDE724,0,7035230.33,0,0,0,
14697,14697,09PK234,4447.4,300070.06,0,0,0,
14697,14697,07IM003,0,42.41,0,0,0,
14697,14697,FD881,0,48692.29,0,0,0,
14697,14697,07CQ005,12124.02,0,0,31190.52,0,
14697,14697,07FN060,0,1836.79,0,317637.62,0,
14697,14697,FD264,0,267.22,0,0,0,
14697,14697,07EME11,0,14.04,0,0,0,
14697,14697,07EU004,0,14.94,0,0,0,
14697,14697,07FD428,0,15767.43,0,0,0,
14697,14697,07EM076,0,812.55,0,0,0,
14697,14697,FDE722,0,158.49,0,0,0,
14697,14697,07IM002,0,208.16,0,0,0,
14697,14697,09GB170,4166.4,0,0,0,4166.4,
14697,14697,09GB105,0,14534.25,0,0,0,
14697,14697,09GD064,4166.4,0,0,0,4166.4,
14697,14697,09PK040,4482.88,2224.48,0,0,2258.4,
14697,14697,09GD024,2347.4,15189.97,0,0,0,
14697,14697,09GB275,0,14458.27,0,0,0,
14697,14697,07FN070,1370.4,10990.73,0,0,0,
14697,14697,09HS031,4166.4,2518.86,0,37916.92,0,
14697,14697,01DM013,0,30791.9,0,0,0,
14697,14697,09GB158,4166.4,0,0,0,4166.4,
14697,14697,09GB090,4203.84,0,0,0,4203.84,
14697,14697,09GB007,0,3128.9,0,0,0,
14697,14697,08FD096,589.91,3488.47,0,0,0,
14697,14697,01FK101,0,348.1,0,0,0,
14697,14697,07ID025,0,266.3,0,0,0,
14697,14697,09GDKG01,0,664.76,0,0,0,
14697,14697,07HD025,0,697.9,0,0,0,
14697,14697,FD067,0,495.57,0,0,0,
